Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83
KOD_KRAJ,,,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8
KRAJ,,,Bratislavskì kraj,Bratislavskì kraj,Bratislavskì kraj,Bratislavskì kraj,Bratislavskì kraj,Bratislavskì kraj,Bratislavskì kraj,Bratislavskì kraj,Trnavskì kraj,Trnavskì kraj,Trnavskì kraj,Trnavskì kraj,Trnavskì kraj,Trnavskì kraj,Trnavskì kraj,TrenŸiansky kraj,TrenŸiansky kraj,TrenŸiansky kraj,TrenŸiansky kraj,TrenŸiansky kraj,TrenŸiansky kraj,TrenŸiansky kraj,TrenŸiansky kraj,TrenŸiansky kraj,Nitriansky kraj,Nitriansky kraj,Nitriansky kraj,Nitriansky kraj,Nitriansky kraj,Nitriansky kraj,Nitriansky kraj,¦ilinskì kraj,¦ilinskì kraj,¦ilinskì kraj,¦ilinskì kraj,¦ilinskì kraj,¦ilinskì kraj,¦ilinskì kraj,¦ilinskì kraj,¦ilinskì kraj,¦ilinskì kraj,¦ilinskì kraj,Banskobystrickì kraj,Banskobystrickì kraj,Banskobystrickì kraj,Banskobystrickì kraj,Banskobystrickì kraj,Banskobystrickì kraj,Banskobystrickì kraj,Banskobystrickì kraj,Banskobystrickì kraj,Banskobystrickì kraj,Banskobystrickì kraj,Banskobystrickì kraj,Banskobystrickì kraj,Preçovskì kraj,Preçovskì kraj,Preçovskì kraj,Preçovskì kraj,Preçovskì kraj,Preçovskì kraj,Preçovskì kraj,Preçovskì kraj,Preçovskì kraj,Preçovskì kraj,Preçovskì kraj,Preçovskì kraj,Preçovskì kraj,Koçickì kraj,Koçickì kraj,Koçickì kraj,Koçickì kraj,Koçickì kraj,Koçickì kraj,Koçickì kraj,Koçickì kraj,Koçickì kraj,Koçickì kraj,Koçickì kraj
KOD_OKRES,,,101,102,103,104,105,106,107,108,201,202,203,204,205,206,207,301,302,303,304,305,306,307,308,309,401,402,403,404,405,406,407,501,502,503,504,505,506,507,508,509,510,511,601,602,603,604,605,606,607,608,609,610,611,612,613,701,702,703,704,705,706,707,708,709,710,711,712,713,801,802,803,804,805,806,807,808,809,810,811
OKRES,,,Okres Bratislava I,Okres Bratislava II,Okres Bratislava III,Okres Bratislava IV,Okres Bratislava V,Okres Malacky,Okres Pezinok,Okres Senec,Okres Dunajsk  Streda,Okres Galanta,Okres Hlohovec,Okres Pieçœany,Okres Senica,Okres Skalica,Okres Trnava,Okres B novce nad Bebravou,Okres Ilava,Okres Myjava,Okres Nov‚ Mesto nad V hom,Okres Partiz nske,Okres Pova§sk  Bystrica,Okres Prievidza,Okres P£chov,Okres TrenŸ¡n,Okres Kom rno,Okres Levice,Okres Nitra,Okres Nov‚ Z mky,Okres æa–a,Okres Topo–Ÿany,Okres Zlat‚ Moravce,Okres BytŸa,Okres ¬adca,Okres Dolnì Kub¡n,Okres Kysuck‚ Nov‚ Mesto,Okres Liptovskì Mikul ç,Okres Martin,Okres N mestovo,Okres Ru§omberok,Okres TurŸianske Teplice,Okres Tvrdoç¡n,Okres ¦ilina,Okres Bansk  Bystrica,Okres Bansk  ætiavnica,Okres Brezno,Okres Detva,Okres Krupina,Okres LuŸenec,Okres Polt r,Okres Rev£ca,Okres Rimavsk  Sobota,Okres Ve–kì Krt¡ç,Okres Zvolen,Okres ¦arnovica,Okres ¦iar nad Hronom,Okres Bardejov,Okres Humenn‚,Okres Ke§marok,Okres LevoŸa,Okres Medzilaborce,Okres Poprad,Okres Preçov,Okres Sabinov,Okres Snina,Okres Star  •ubovåa,Okres Stropkov,Okres Svidn¡k,Okres Vranov  nad Top–ou,Okres Gelnica,Okres Koçice I,Okres Koçice II,Okres Koçice III,Okres Koçice IV,Okres Koçice-okolie,Okres Michalovce,Okres Ro§åava,Okres Sobrance,Okres Spiçsk  Nov  Ves,Okres Trebiçov
S£Ÿasn  ekonomick  aktivita - nezisten ,mu§i,nezistenì,2,22,4,9,13,3,15,9,2,3,1,7,1,0,11,2,5,2,2,2,2,5,0,4,4,4,15,3,0,2,1,0,1,0,0,9,5,0,2,1,3,23,39,0,2,0,0,6,3,1,4,0,9,3,4,1,3,0,0,0,5,6,1,2,3,1,1,0,1,4,8,2,7,11,3,0,1,3,2
S£Ÿasn  ekonomick  aktivita - nezisten ,mu§i,15-19,46,105,38,106,67,80,60,125,191,118,107,114,99,81,309,72,144,50,114,117,143,303,85,238,228,192,246,312,114,104,51,71,161,59,46,118,322,75,74,21,44,220,264,35,178,107,65,295,51,141,308,139,199,61,161,168,149,329,98,34,348,656,169,77,131,36,77,225,128,417,507,165,331,482,435,242,66,360,315
S£Ÿasn  ekonomick  aktivita - nezisten ,mu§i,20-24,71,200,89,149,140,122,129,191,308,164,141,243,176,127,500,113,292,104,193,198,218,549,155,409,352,348,397,523,171,167,97,87,264,122,78,218,607,112,127,39,71,377,531,78,262,127,82,419,77,200,394,217,311,115,304,210,225,386,143,62,567,926,178,127,161,78,119,274,125,622,680,240,389,539,572,289,92,396,471
S£Ÿasn  ekonomick  aktivita - nezisten ,mu§i,25-29,73,156,89,102,237,108,98,176,268,153,140,206,162,104,545,120,234,96,161,161,231,475,101,417,310,257,392,472,164,175,68,63,199,99,63,225,591,78,151,51,66,307,531,78,230,128,70,393,83,140,381,193,285,119,200,208,258,311,129,53,534,700,135,135,138,67,121,220,86,487,624,282,372,445,522,299,86,337,331
S£Ÿasn  ekonomick  aktivita - nezisten ,mu§i,30-34,102,192,108,90,232,91,106,195,261,102,131,196,168,100,569,110,242,101,168,189,230,469,109,471,298,269,359,457,128,143,78,56,245,113,80,222,477,88,130,41,74,331,558,79,243,133,71,403,89,128,363,143,357,104,248,210,243,259,103,37,501,711,118,111,115,55,113,223,82,528,562,413,520,431,442,266,51,314,292
S£Ÿasn  ekonomick  aktivita - nezisten ,mu§i,35-39,81,190,80,106,128,82,88,179,213,113,126,208,143,99,545,102,218,91,154,152,182,416,82,375,262,283,293,436,150,137,68,65,175,96,67,178,426,79,109,38,60,298,467,76,191,118,52,340,67,108,303,157,314,76,229,185,203,198,89,43,385,628,103,108,110,72,105,171,98,568,540,219,575,326,408,248,49,270,253
